"pays","mois","nombre"
"Algerie","01_24",0
"Algerie","02_24",5
"Algerie","03_24",0
"Algerie","04_24",0
"Algerie","05_24",12
"Algerie","06_24",8
"Algerie","07_24",7
"Algerie","08_24",0
"Algerie","09_24",11
"Algerie","10_24",23
"Algerie","11_24",24
"Cameroun","01_24",8
"Cameroun","02_24",5
"Cameroun","03_24",0
"Cameroun","04_24",0
"Cameroun","05_24",0
"Cameroun","06_24",13
"Cameroun","07_24",6
"Cameroun","08_24",0
"Cameroun","09_24",0
"Cameroun","10_24",0
"Cameroun","11_24",15
"Colombie","01_24",0
"Colombie","02_24",13
"Colombie","03_24",11
"Colombie","04_24",0
"Colombie","05_24",12
"Colombie","06_24",10
"Colombie","07_24",5
"Colombie","08_24",10
"Colombie","09_24",8
"Colombie","10_24",7
"Colombie","11_24",10
"Erythree","01_24",34
"Erythree","02_24",36
"Erythree","03_24",35
"Erythree","04_24",25
"Erythree","05_24",36
"Erythree","06_24",27
"Erythree","07_24",35
"Erythree","08_24",30
"Erythree","09_24",40
"Erythree","10_24",41
"Erythree","11_24",21
"Guinee-Conakry","01_24",13
"Guinee-Conakry","02_24",7
"Guinee-Conakry","03_24",5
"Guinee-Conakry","04_24",5
"Guinee-Conakry","05_24",5
"Guinee-Conakry","06_24",3
"Guinee-Conakry","07_24",6
"Guinee-Conakry","08_24",6
"Guinee-Conakry","09_24",0
"Guinee-Conakry","10_24",0
"Guinee-Conakry","11_24",9
"Maroc","01_24",0
"Maroc","02_24",0
"Maroc","03_24",6
"Maroc","04_24",5
"Maroc","05_24",0
"Maroc","06_24",0
"Maroc","07_24",5
"Maroc","08_24",5
"Maroc","09_24",0
"Maroc","10_24",12
"Maroc","11_24",18
"Syrie","01_24",27
"Syrie","02_24",12
"Syrie","03_24",14
"Syrie","04_24",20
"Syrie","05_24",22
"Syrie","06_24",20
"Syrie","07_24",15
"Syrie","08_24",21
"Syrie","09_24",24
"Syrie","10_24",32
"Syrie","11_24",35
"Tunisie","01_24",0
"Tunisie","02_24",0
"Tunisie","03_24",0
"Tunisie","04_24",0
"Tunisie","05_24",0
"Tunisie","06_24",0
"Tunisie","07_24",0
"Tunisie","08_24",0
"Tunisie","09_24",5
"Tunisie","10_24",12
"Tunisie","11_24",24
"Turquie","01_24",0
"Turquie","02_24",0
"Turquie","03_24",0
"Turquie","04_24",0
"Turquie","05_24",0
"Turquie","06_24",0
"Turquie","07_24",12
"Turquie","08_24",8
"Turquie","09_24",30
"Turquie","10_24",21
"Turquie","11_24",30
"Venezuela","01_24",17
"Venezuela","02_24",0
"Venezuela","03_24",8
"Venezuela","04_24",0
"Venezuela","05_24",0
"Venezuela","06_24",8
"Venezuela","07_24",14
"Venezuela","08_24",7
"Venezuela","09_24",0
"Venezuela","10_24",19
"Venezuela","11_24",32
